# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Apr 17 00:59:44 2019
#
# COLUMN BJD:            BJD
# COLUMN Magnitude:      Magnitude
# COLUMN Magnitude_Uncertainty: Magnitude_Uncertainty
# COLUMN Data_Quality_Flag: Data_Quality_Flag
# COLUMN Accepted:       Accepted
#
BJD,Magnitude,Magnitude_Uncertainty,Data_Quality_Flag,Accepted
2447872.91902,7.9311,0.011,0,1
2447890.42496,7.9332,0.010,0,1
2447890.51385,7.9456,0.010,0,1
2447890.52815,7.9412,0.012,0,1
2447927.83351,7.9290,0.011,0,1
2447927.90807,7.9428,0.013,0,1
2447927.92240,7.9207,0.015,0,1
2447927.99694,7.9287,0.017,1,1
2447939.90643,7.9313,0.011,0,1
2447939.99532,7.9347,0.010,1,1
2447940.00961,7.9352,0.012,1,1
2447940.08421,7.9288,0.013,1,1
2447940.09850,7.9178,0.009,1,1
2447977.74731,7.9400,0.011,0,1
2447977.92509,7.9955,0.015,0,1
2447977.93939,7.9594,0.013,0,1
2447996.85413,7.9276,0.011,9,0
2447996.95735,7.9043,0.015,2,1
2447997.04624,7.9333,0.010,0,1
2448029.38688,7.9380,0.017,0,1
2448029.46144,7.9216,0.009,0,1
2448029.47576,7.9373,0.013,0,1
2448029.55036,7.9349,0.009,0,1
2448029.56465,7.9423,0.010,0,1
2448060.91730,7.9289,0.017,0,1
2448060.93162,7.9306,0.015,0,1
2448061.00618,7.9398,0.019,0,1
2448061.02052,7.9311,0.012,0,1
2448061.09507,7.9249,0.017,0,1
2448061.10943,7.9317,0.013,0,1
2448085.52566,7.9357,0.009,0,1
2448085.53998,7.9446,0.010,0,1
2448085.61453,7.9432,0.018,0,1
2448085.62889,7.9367,0.010,0,1
2448085.80668,7.9682,0.012,0,1
2448128.54807,7.8917,0.016,0,1
2448128.62263,7.9355,0.009,0,1
2448128.63695,7.9393,0.010,0,1
2448128.71153,7.9387,0.009,1,1
2448128.81473,7.9333,0.015,1,1
2448128.88929,7.9240,0.008,0,1
2448128.90363,7.9513,0.012,0,1
2448150.57397,7.9390,0.010,0,1
2448150.58830,7.9347,0.009,0,1
2448150.66286,7.9377,0.010,0,1
2448150.67718,7.9357,0.014,0,1
2448150.75174,7.9314,0.010,0,1
2448150.76606,7.9427,0.012,0,1
2448150.84063,7.9578,0.010,0,1
2448185.31423,7.9339,0.016,0,1
2448185.32858,7.9589,0.012,0,1
2448185.40311,7.9242,0.010,0,1
2448185.49200,7.9273,0.007,0,1
2448185.50633,7.9484,0.011,1,1
2448214.72191,7.9617,0.012,0,1
2448214.73621,7.9524,0.010,0,1
2448271.93266,7.9367,0.019,0,1
2448271.94698,7.9511,0.019,0,1
2448272.02154,7.9427,0.019,0,1
2448272.03587,7.9332,0.019,0,1
2448284.81932,7.9021,0.017,0,1
2448284.83362,7.9427,0.015,0,1
2448284.90820,7.9457,0.015,0,1
2448284.92250,7.9340,0.015,0,1
2448323.20546,7.9426,0.011,0,1
2448323.28005,7.9345,0.010,0,1
2448323.29437,7.9009,0.015,0,1
2448323.36892,7.9274,0.010,0,1
2448323.38326,7.9329,0.017,0,1
2448338.47754,7.9254,0.009,0,1
2448338.49184,7.9253,0.009,0,1
2448338.56642,7.9523,0.013,0,1
2448338.58073,7.9388,0.012,0,1
2448373.49440,7.9229,0.019,0,1
2448373.56899,7.9281,0.009,0,1
2448373.58328,7.9324,0.018,0,1
2448373.65787,7.9329,0.017,0,1
2448373.67219,7.9160,0.015,0,1
2448399.69418,7.9710,0.013,0,1
2448399.70851,7.9177,0.019,0,1
2448399.78306,7.9427,0.015,0,1
2448399.79741,7.9399,0.013,0,1
2448427.68628,7.9577,0.013,0,1
2448427.70058,7.9399,0.009,0,1
2448427.77512,7.9600,0.012,0,1
2448427.78947,7.9452,0.009,0,1
2448467.59788,7.9347,0.014,0,1
2448467.67245,7.9350,0.010,0,1
2448467.68675,7.8992,0.018,0,1
2448467.76136,7.9422,0.015,2,1
2448467.77568,7.9579,0.017,10,0
2448467.93913,7.9470,0.012,0,1
2448467.95343,7.9182,0.018,0,1
2448488.46958,7.9453,0.010,0,1
2448488.48392,7.9313,0.008,0,1
2448488.55847,7.9567,0.010,0,1
2448488.57281,7.9460,0.008,0,1
2448488.64735,7.9474,0.011,9,0
2448488.82512,7.9324,0.009,0,1
2448528.89804,7.9443,0.009,0,1
2448528.91238,7.9655,0.010,0,1
2448529.00124,7.9256,0.010,8,0
2448555.32033,7.9275,0.013,0,1
2448555.40919,7.9308,0.012,0,1
2448555.42355,7.9390,0.010,0,1
2448581.61990,7.9361,0.014,0,1
2448581.63423,7.9343,0.015,0,1
2448581.70878,7.9410,0.008,0,1
2448581.72312,7.9440,0.010,0,1
2448614.93164,7.9323,0.015,0,1
2448614.94595,7.9327,0.016,0,1
2448615.02053,7.9625,0.018,0,1
2448615.03485,7.9621,0.020,0,1
2448630.57220,7.9440,0.018,0,1
2448630.58647,7.9239,0.010,0,1
2448668.60238,7.9531,0.017,0,1
2448668.67695,7.9536,0.015,0,1
2448668.69127,7.9389,0.012,0,1
2448681.11968,7.9892,0.020,0,1
2448681.13400,7.9444,0.021,0,1
2448681.29747,7.9131,0.011,0,1
2448681.31178,7.9448,0.008,0,1
2448718.26560,7.9494,0.019,0,1
2448718.35448,7.9334,0.015,0,1
2448718.42905,7.9398,0.011,0,1
2448718.44340,7.9317,0.009,0,1
2448739.66804,7.9416,0.012,0,1
2448739.68238,7.9425,0.012,0,1
2448770.78091,7.9250,0.013,2,1
2448770.94434,7.9633,0.014,0,1
2448805.06565,7.9173,0.017,0,1
2448805.07996,7.9114,0.012,0,1
2448805.16886,7.9564,0.009,0,1
2448805.24343,7.9384,0.013,0,1
2448805.25776,7.9252,0.017,0,1
2448805.33231,7.9220,0.016,2,1
2448805.34664,7.9464,0.015,2,1
2448828.13002,7.9850,0.016,1,1
2448828.20464,7.9221,0.013,0,1
2448828.21897,7.9161,0.018,0,1
2448828.29352,7.9590,0.015,0,1
2448828.30784,7.9133,0.014,0,1
2448828.38241,7.9321,0.013,0,1
2448828.39675,7.9142,0.011,0,1
2448977.65246,7.9384,0.017,0,1
2448977.66678,7.9261,0.010,0,1
2448977.74134,7.9495,0.010,0,1
2448977.75566,7.9248,0.010,0,1
2449014.92179,7.9330,0.010,2,1
2449053.64798,7.9185,0.011,0,1
2449053.66233,7.9395,0.009,0,1
2449053.83824,7.9297,0.016,0,1
